,total_references,num_jobs,percent_jobs,category
spark,103,88,0.08,Software Tools
nike,94,7,0.006363636,Other Terms
california,75,40,0.036363636,Locations
manufacturing,65,37,0.033636364,Job Type
weather,52,13,0.011818182,Other Terms
Statistics,1306,564,0.512727273,Majors
Mathematics,516,397,0.360909091,Majors
Physics,85,72,0.065454545,Majors
Engineering,974,515,0.468181818,Majors
new-york,136,96,0.087272727,Locations
Finance,506,252,0.229090909,Majors
Economics,272,186,0.169090909,Majors
masters,189,170,0.154545455,Degrees
benefits,166,148,0.134545455,Job Requirements
requirements,141,117,0.106363636,Job Requirements
education,1954,773,0.702727273,Job Requirements
skills,128,98,0.089090909,Job Requirements
san-francisco,81,61,0.055454545,Locations
